PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS
1629660,0.7,1.3,0.538,1.7,3,0.579,0.5,0.9,0.585,0.2,0.3,0.591,0.1,0.2,0.353,1.3,3,0.434,0,0,0,Ty Jerome,8.8,3.6,2.1,12.5,0.229,0.643,0.606,120.3,0.238636364,1.420454545
1631109,4.9,6.9,0.712,1.1,3,0.377,0.1,0.3,0.545,0,0,0,0,0,0,0,0.1,0,0,0,0,Mark Williams,10.2,0.1,3.7,15.3,0.21,0.647,0.604,106.3,0.362745098,1.5
1630596,4.6,6.1,0.762,1.2,3,0.395,0.1,0.5,0.235,0.1,0.3,0.375,0.2,0.3,0.458,0.9,2.5,0.359,0,0,0,Evan Mobley,12.8,3.2,4.3,18.5,0.226,0.633,0.604,120.5,0.3359375,1.4453125
1630198,0.5,0.7,0.76,0.2,0.5,0.412,0.2,0.5,0.395,0.4,0.7,0.604,0.2,0.5,0.5,1.9,5.1,0.377,0,0,0,Isaiah Joe,7.9,6.3,0.8,10.2,0.166,0.617,0.604,119.9,0.101265823,1.291139241
1630168,3.6,5.1,0.701,1,2.1,0.474,0,0.1,0.6,0.1,0.2,0.467,0.3,0.9,0.318,0.3,0.9,0.303,0,0,0,Onyeka Okongwu,9.2,2,2.9,13.4,0.169,0.634,0.602,114.9,0.315217391,1.456521739
1628960,0.7,1.2,0.635,0.3,0.9,0.368,0,0.1,0.25,0.5,1,0.517,0.3,0.6,0.462,1.6,3.9,0.398,0,0,0,Grayson Allen,7.6,5.5,1.8,10.6,0.169,0.631,0.6,114.7,0.236842105,1.394736842
201572,1.9,2.5,0.779,0.9,1.8,0.514,0.4,0.8,0.452,0.1,0.2,0.438,0.2,0.3,0.652,1.5,4.2,0.35,0,0,0,Brook Lopez,9.7,4.7,1.7,13,0.157,0.624,0.599,114.8,0.175257732,1.340206186
201142,1.6,2,0.79,2.9,5.5,0.532,2.5,4.6,0.531,0.4,0.7,0.524,0.4,0.7,0.478,1.9,4.6,0.408,0,0,0,Kevin Durant,18.1,6,5.8,26.6,0.283,0.642,0.598,116.5,0.320441989,1.46961326
1629060,2.3,3.2,0.713,0.6,1.6,0.381,0.3,0.7,0.455,0.4,1,0.386,0.5,0.9,0.509,0.9,2.3,0.387,0,0,0,Rui Hachimura,9.8,4.2,1.9,13.1,0.156,0.619,0.597,114.8,0.193877551,1.336734694
1629008,2.8,3.8,0.737,0.8,1.7,0.485,0.7,1.7,0.409,0.2,0.4,0.548,0.2,0.4,0.469,2.1,5.4,0.385,0,0.1,0,Michael Porter Jr.,13.6,6.4,2.5,18.2,0.197,0.617,0.596,119.8,0.183823529,1.338235294
1627824,2.2,3.1,0.713,0.3,0.9,0.344,0,0.2,0.25,0.2,0.5,0.344,0.2,0.6,0.359,1.1,2.9,0.395,0,0.1,0,Guerschon Yabusele,8,3.9,2,11,0.163,0.616,0.593,113.5,0.25,1.375
1627884,2.4,3.4,0.703,0.6,1.3,0.469,0.1,0.2,0.308,0.2,0.8,0.288,0.3,0.8,0.433,0.5,1.3,0.354,0,0,0,Derrick Jones Jr.,7.6,2.8,1.5,10.1,0.16,0.609,0.593,115.5,0.197368421,1.328947368
1630534,2.3,3.5,0.656,0.2,0.7,0.318,0.1,0.3,0.375,0.5,1.1,0.426,0.5,1.2,0.395,0.7,1.7,0.385,0,0,0,Ochai Agbaji,8.3,4,0.8,10.4,0.144,0.601,0.593,106.4,0.096385542,1.253012048
202696,2.5,3.7,0.659,2.7,4.6,0.577,0.6,1.5,0.435,0.1,0.2,0.438,0.1,0.2,0.364,1.6,4,0.403,0,0,0,Nikola Vučević,14.2,4.4,2,18.5,0.221,0.611,0.592,113.6,0.14084507,1.302816901
1641729,0.5,0.9,0.629,0.8,1.6,0.487,0.3,0.7,0.462,0.5,1,0.5,0.4,0.8,0.509,1.4,3.5,0.384,0,0,0,Brice Sensabaugh,8.4,5.2,1,10.9,0.208,0.612,0.59,109.9,0.119047619,1.297619048
