PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS,Cluster
1630591,1.8,2.4,0.738,1,2.6,0.396,0.7,1.8,0.359,0.3,0.8,0.429,0.1,0.2,0.5,1.7,5.8,0.297,0,0.1,0,Jalen Suggs,13.7,6.9,3.1,16.2,0.268,0.536,0.489,105.7,0.226277372,1.182481752,5
1628970,3.4,5.2,0.655,1.5,4,0.375,0.3,0.9,0.304,0.3,0.9,0.327,0.4,0.9,0.429,1.5,5.2,0.297,0,0.1,0,Miles Bridges,17,7,4,20.3,0.273,0.541,0.495,108.2,0.235294118,1.194117647,5
1631101,2.9,4.1,0.711,0.9,2.3,0.384,1.1,2.4,0.46,0.3,0.6,0.4,0.2,0.5,0.308,1.6,5.3,0.305,0,0.1,0,Shaedon Sharpe,15.3,6.6,3.4,18.5,0.25,0.551,0.519,111.4,0.222222222,1.209150327,5
1628370,1.8,2.8,0.616,1.9,3.6,0.519,0.6,1.4,0.407,0.2,0.5,0.394,0.2,0.3,0.55,1.8,5.7,0.308,0,0,0,Malik Monk,14.4,6.6,2.7,17.2,0.236,0.549,0.513,117,0.1875,1.194444444,5
1630552,4.4,6.1,0.719,1.5,3.9,0.383,0.4,1.1,0.359,0.1,0.5,0.294,0.3,0.8,0.333,0.8,2.6,0.316,0,0.1,0,Jalen Johnson,15.1,3.9,3.5,18.9,0.214,0.569,0.541,111.8,0.231788079,1.251655629,5
1641718,0.9,1.5,0.614,1.4,3.4,0.41,0.4,1.2,0.354,0.2,0.5,0.5,0.3,0.6,0.476,2.1,6.5,0.319,0,0,0,Keyonte George,13.7,7.6,4.3,16.8,0.237,0.539,0.485,110.1,0.313868613,1.226277372,5
1628374,1.9,3,0.638,1.1,2.5,0.462,0.3,0.9,0.326,0.3,0.8,0.41,0.3,0.7,0.412,2.3,6.9,0.332,0,0,0,Lauri Markkanen,14.9,8.5,3.9,19,0.231,0.571,0.521,111.4,0.261744966,1.275167785,5
1629628,4.2,6.9,0.608,1.6,4,0.391,0.3,0.7,0.425,0.2,0.6,0.375,0.3,0.7,0.436,1.3,4,0.333,0,0,0,RJ Barrett,16.9,5.3,5.4,21.1,0.28,0.547,0.523,110.1,0.319526627,1.24852071,5
1630530,2.9,4.1,0.703,1.1,2.7,0.403,0.3,0.9,0.356,0.4,0.8,0.512,0.3,0.6,0.406,2.3,6.9,0.341,0,0,0,Trey Murphy III,15.8,8.3,4.3,21.2,0.229,0.598,0.548,109,0.272151899,1.341772152,5
1630170,1.5,2.3,0.62,0.9,1.8,0.475,1.4,3,0.455,0.4,0.9,0.4,0.3,0.7,0.478,1.8,5,0.347,0,0,0,Devin Vassell,13.9,6.7,1.9,16.3,0.217,0.553,0.532,111.9,0.136690647,1.172661871,5
203903,0.9,1.6,0.576,1.7,4.2,0.416,0.5,1.3,0.396,0.2,0.3,0.5,0.2,0.4,0.429,1.9,5.5,0.355,0,0.1,0,Jordan Clarkson,13.3,6.3,3.9,16.2,0.269,0.54,0.493,107.5,0.293233083,1.218045113,5
,2.385714286,3.642857143,0.639714286,1.328571429,3.214285714,0.42,0.514285714,1.3,0.381571429,0.257142857,0.628571429,0.427285714,0.285714286,0.642857143,0.424285714,1.785714286,5.342857143,0.334714286,0,0.028571429,0,#DIV/0!,14.8,6.657142857,3.885714286,18.5,0.239571429,0.559571429,0.520428571,110.2571429,0.261286273,1.247728662,5
203944,3,4.3,0.701,1.6,3.7,0.422,0.5,1.1,0.44,0.1,0.6,0.237,0.2,0.5,0.361,1.2,3.5,0.36,0,0,0,Julius Randle,13.6,4.6,4.9,18.7,0.246,0.593,0.542,115,0.360294118,1.375,5
203952,1.9,3.2,0.577,1.6,3.4,0.468,0.7,1.6,0.415,0.2,0.6,0.389,0.2,0.4,0.458,1.8,4.8,0.365,0,0,0,Andrew Wiggins,14,5.8,4.3,18,0.238,0.566,0.526,109.4,0.307142857,1.285714286,5
1630559,1.9,2.8,0.692,1.5,3.3,0.465,0.4,0.9,0.406,0.2,0.5,0.385,0.2,0.4,0.567,2.3,6.2,0.369,0,0.1,0,Austin Reaves,14.2,7.3,5,20.2,0.23,0.616,0.556,117.1,0.352112676,1.422535211,5
203078,1.8,2.5,0.737,1.7,3.1,0.543,1.1,2.5,0.421,0.4,1,0.46,0.2,0.7,0.351,1.2,3.3,0.373,0,0,0,Bradley Beal,13.1,5,2.6,17,0.219,0.598,0.571,110.6,0.198473282,1.297709924,5
1629632,2.5,3.9,0.64,1,2.1,0.459,0.5,1.2,0.385,0.3,0.7,0.426,0.1,0.4,0.296,2.5,6.7,0.374,0,0.1,0,Coby White,15.1,7.9,4.1,20.4,0.237,0.601,0.55,111.5,0.271523179,1.350993377,5
202331,1.4,2,0.738,0.6,1.6,0.373,1.6,3.8,0.419,0.2,0.5,0.333,0.2,0.7,0.25,2,5.3,0.376,0,0,0,Paul George,13.9,6.5,2.4,16.2,0.233,0.543,0.514,108.3,0.172661871,1.165467626,5
1630193,1.1,1.9,0.578,1.4,3.2,0.421,0.5,1.3,0.405,0.1,0.3,0.2,0.3,0.5,0.533,2.3,6,0.377,0,0,0,Immanuel Quickley,13.3,6.8,3.9,17.1,0.246,0.57,0.517,109,0.293233083,1.285714286,5
1629661,2.1,2.9,0.714,0.8,1.6,0.467,0.6,1.4,0.418,0.4,0.9,0.407,0.3,0.7,0.462,2.1,5.5,0.378,0,0,0,Cameron Johnson,13.1,7.2,3.9,18.8,0.224,0.632,0.582,110.9,0.297709924,1.435114504,5
1628381,3,4.4,0.678,2.1,4.1,0.512,0.5,1.2,0.426,0.2,0.6,0.333,0.4,0.9,0.5,0.9,2.3,0.378,0,0,0,John Collins,13.3,3.7,4.1,19,0.234,0.628,0.583,112.4,0.308270677,1.428571429,5
1626167,1.8,2.6,0.695,0.9,2.2,0.408,0.6,1,0.548,0.1,0.2,0.6,0.3,0.6,0.463,1.8,4.7,0.379,0,0,0,Myles Turner,11.3,5.5,3.3,15.6,0.207,0.612,0.577,116.1,0.292035398,1.380530973,5
1629008,2.8,3.8,0.737,0.8,1.7,0.485,0.7,1.7,0.409,0.2,0.4,0.548,0.2,0.4,0.469,2.1,5.4,0.385,0,0.1,0,Michael Porter Jr.,13.6,6.4,2.5,18.2,0.197,0.617,0.596,119.8,0.183823529,1.338235294,5
1627783,3.2,4.4,0.728,2,4,0.513,1,2.6,0.383,0.2,0.5,0.439,0.3,0.7,0.375,1.1,2.9,0.385,0,0,0,Pascal Siakam,15.2,4.2,3.9,20.2,0.237,0.599,0.572,114.5,0.256578947,1.328947368,5
1630169,1.3,1.8,0.718,1.2,2.2,0.563,1,2.1,0.484,0.1,0.2,0.529,0.1,0.4,0.37,2.7,7,0.391,0,0.1,0,Tyrese Haliburton,13.8,7.7,3,18.6,0.21,0.616,0.582,117.7,0.217391304,1.347826087,5
1629012,1.8,2.9,0.622,2.5,5,0.503,0.6,1.6,0.353,0.2,0.5,0.455,0.2,0.4,0.464,1.3,3.3,0.392,0,0,0,Collin Sexton,13.8,4.3,4,18.4,0.264,0.593,0.543,110.4,0.289855072,1.333333333,5
1642272,1.8,3,0.586,1.1,2.3,0.472,0.4,0.8,0.5,0.2,0.8,0.294,0.2,0.6,0.385,1.8,4.5,0.398,0,0,0,Jared McCain,11.9,5.8,2.4,15.3,0.243,0.589,0.553,109.3,0.201680672,1.285714286,5
202696,2.5,3.7,0.659,2.7,4.6,0.577,0.6,1.5,0.435,0.1,0.2,0.438,0.1,0.2,0.364,1.6,4,0.403,0,0,0,Nikola Vučević,14.2,4.4,2,18.5,0.221,0.611,0.592,113.6,0.14084507,1.302816901,5
1629636,1.7,2.8,0.608,1.9,3.5,0.527,1,2.3,0.438,0.2,0.6,0.395,0.2,0.5,0.366,2.4,5.9,0.405,0,0,0,Darius Garland,15.7,7.1,3.4,20.6,0.265,0.6,0.562,123.2,0.21656051,1.312101911,5
1630217,2.5,3.7,0.677,1.4,3.3,0.432,0.8,1.7,0.496,0.2,0.7,0.32,0.1,0.5,0.303,2,4.9,0.412,0,0,0,Desmond Bane,14.8,6.1,2.9,19.2,0.227,0.6,0.565,116.1,0.195945946,1.297297297,5
204001,2.1,3,0.69,1.6,3.3,0.475,0.5,1.4,0.356,0,0.2,0.286,0.1,0.2,0.4,2.3,5.5,0.416,0,0,0,Kristaps Porziņģis,13.7,6,4.7,19.5,0.253,0.618,0.572,116.2,0.343065693,1.423357664,5
1629631,1.4,2.2,0.617,1.2,2.4,0.487,0.6,1.3,0.494,0.3,0.9,0.382,0.3,1,0.361,1.8,4.2,0.422,0,0,0,De'Andre Hunter,11.9,6.1,4,17,0.221,0.623,0.573,115.9,0.336134454,1.428571429,5
1626181,2.7,4.1,0.65,1.5,3.2,0.464,0.5,1.3,0.364,0.2,0.6,0.371,0.2,0.5,0.419,2.6,6,0.426,0,0.1,0,Norman Powell,15.8,7.1,4.4,21.8,0.255,0.615,0.578,116.2,0.278481013,1.379746835,5
1631093,2.6,4.4,0.595,1.2,2.9,0.398,0.5,1.3,0.35,0.1,0.5,0.188,0.3,0.6,0.529,1.7,3.9,0.432,0,0.1,0,Jaden Ivey,13.8,5.1,3.9,17.6,0.256,0.569,0.536,110.5,0.282608696,1.275362319,5
203897,3.2,4.6,0.685,0.9,1.8,0.504,1.1,2.9,0.399,0.4,0.7,0.52,0.2,0.6,0.409,2.6,6,0.441,0,0,0,Zach LaVine,16.5,7.2,3.9,23.3,0.251,0.639,0.609,115.4,0.236363636,1.412121212,5
