PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS,Cluster
1629645,1.2,1.9,0.621,1.1,2.4,0.445,0.9,2,0.458,0,0.1,0.333,0.1,0.2,0.467,0.6,2,0.294,0,0,0,Kevin Porter Jr.,8.7,2.4,2.3,10.3,0.248,0.531,0.492,109.1,0.264367816,1.183908046,3
1626156,0.9,1.4,0.619,1.1,2.4,0.471,0.3,1,0.339,0.1,0.3,0.333,0.1,0.3,0.222,1.8,5.6,0.32,0,0,0,D'Angelo Russell,11,6.2,2.5,12.6,0.228,0.522,0.479,110.1,0.227272727,1.145454545,3
,1.38,2.12,0.6258,0.92,2.34,0.3904,0.52,1.38,0.3634,0.16,0.48,0.3396,0.14,0.36,0.3794,1.14,3.82,0.2962,0,0,0,#DIV/0!,10.52,4.68,2.44,11.8,0.217,0.5108,0.4742,106.6,0.233504892,1.125807227,3
1642264,2.8,4.5,0.627,0.8,2.3,0.342,0.4,1.2,0.337,0.1,0.2,0.313,0.2,0.4,0.353,1,3.4,0.28,0,0.1,0,Stephon Castle,12.2,4.1,4.2,14.7,0.253,0.522,0.476,111.8,0.344262295,1.204918033,3
1630700,2.7,4.2,0.654,2.1,4.5,0.464,0.1,0.3,0.28,0.1,0.3,0.286,0.3,0.5,0.528,0.7,2.3,0.32,0,0.1,0,Dyson Daniels,12.1,3.1,1.8,14.1,0.178,0.545,0.536,113.3,0.148760331,1.165289256,3
1641711,1.5,2.9,0.525,0.6,1.4,0.411,0.7,1.7,0.422,0.2,0.8,0.286,0.3,0.9,0.391,1.6,4.4,0.354,0,0,0,Gradey Dick,12,6,2.9,14.4,0.209,0.543,0.498,110.3,0.241666667,1.2,3
1627832,0.8,1.6,0.495,0.6,1.4,0.395,0.8,2,0.403,0.1,0.5,0.286,0.1,0.4,0.381,2.4,6.7,0.354,0,0.1,0,Fred VanVleet,12.7,7.7,2.3,14.1,0.176,0.515,0.483,115,0.181102362,1.11023622,3
1626179,1.3,2.3,0.569,0.7,1.9,0.392,0.4,1,0.444,0.4,1.4,0.286,0.2,0.9,0.255,0.8,2.6,0.321,0,0.1,0,Terry Rozier,9.9,4.8,1.7,10.6,0.195,0.497,0.462,107.3,0.171717172,1.070707071,3
1630527,1.5,2.5,0.621,0.4,1.4,0.283,0.9,1.9,0.462,0.1,0.3,0.25,0.2,0.5,0.35,0.9,2.6,0.361,0,0,0,Brandon Boston,9.1,3.3,2,10.7,0.199,0.535,0.5,108.6,0.21978022,1.175824176,3
1629022,1.3,2.1,0.615,0.6,1.3,0.462,0.4,1,0.4,0.1,0.5,0.111,0.3,0.6,0.5,2.1,5.5,0.371,0,0.2,0,Lonnie Walker IV,10.6,6.4,1.5,12.4,0.214,0.548,0.526,104.7,0.141509434,1.169811321,3
