PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS,Cluster
1628386,4.1,5.3,0.772,1.3,2.3,0.591,0.1,0.2,0.55,0,0,0,0,0,0,0,0,0,0,0,0,Jarrett Allen,7.8,0.1,3.4,13.5,0.156,0.724,0.706,121.9,0.435897436,1.730769231,4
203497,4.5,5.9,0.756,0.3,1.1,0.237,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rudy Gobert,7.1,0,3.8,12,0.129,0.687,0.669,114.3,0.535211268,1.690140845,4
1629655,4.2,5.6,0.743,0.8,1.4,0.543,0,0.1,0.667,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Gafford,7.1,0,3.4,12.3,0.186,0.716,0.702,114.9,0.478873239,1.732394366,4
1631117,4.1,5.6,0.736,0.6,1.1,0.574,0,0,0,0.1,0.1,0.571,0,0,0,0,0.4,0.08,0,0,0,Walker Kessler,7.2,0.6,2.6,11.1,0.133,0.66,0.671,109.2,0.361111111,1.541666667,4
1627751,4,5.5,0.736,1.9,3.9,0.495,0.4,0.8,0.533,0,0,0,0,0,1,0,0,0,0,0,0,Jakob Poeltl,10.2,0.1,2.5,14.5,0.184,0.641,0.628,111.2,0.245098039,1.421568627,4
,4.05,5.55,0.736,1.25,2.5,0.5345,0.2,0.4,0.2665,0.05,0.05,0.2855,0,0,0.5,0,0.2,0.04,0,0,0,#DIV/0!,8.7,0.35,2.55,12.8,0.1585,0.6505,0.6495,110.2,0.303104575,1.481617647,4
1631105,4.1,5.6,0.728,0.8,1.4,0.541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jalen Duren,7,0,3.1,11.8,0.161,0.703,0.692,115.5,0.442857143,1.685714286,4
1628392,2.6,3.6,0.724,2.2,4.2,0.521,0.1,0.4,0.4,0,0,0,0,0,0,0,0.3,0,0,0,0,Isaiah Hartenstein,8.4,0.3,2.1,11.2,0.165,0.599,0.581,118.3,0.25,1.333333333,4
1627826,4.5,6.3,0.713,2.8,5.2,0.536,0.2,0.3,0.462,0,0,0,0,0,0,0,0,0,0,0,0,Ivica Zubac,11.8,0,3,16.8,0.192,0.641,0.628,116.5,0.254237288,1.423728814,4
1631109,4.9,6.9,0.712,1.1,3,0.377,0.1,0.3,0.545,0,0,0,0,0,0,0,0.1,0,0,0,0,Mark Williams,10.2,0.1,3.7,15.3,0.21,0.647,0.604,106.3,0.362745098,1.5,4
1642449,6,9,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tolu Smith,9,0,3,14,0.2,0.678,0.667,117.4,0.333333333,1.555555556,4
