PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS,Cluster
201939,1.5,2.3,0.642,1.2,2.6,0.462,0.9,1.9,0.5,0.3,0.8,0.436,0.2,0.4,0.567,3.8,9.9,0.388,0,0.1,0.167,Stephen Curry,18,11.2,4.3,24.5,0.286,0.618,0.572,118.4,0.238888889,1.361111111,1
1629639,1.9,3,0.654,2.5,4.5,0.556,0.8,1.7,0.436,0.2,0.5,0.472,0.3,0.6,0.444,2.8,7.6,0.365,0,0,0,Tyler Herro,17.9,8.7,4.2,23.9,0.271,0.605,0.563,113.9,0.234636872,1.335195531,1
1641705,3.4,4.5,0.754,1.2,2.3,0.505,1.2,3.1,0.401,0.1,0.4,0.25,0.1,0.2,0.571,2.9,8,0.359,0,0.1,0,Victor Wembanyama,18.6,8.8,4.1,24.3,0.3,0.594,0.559,112.5,0.220430108,1.306451613,1
202681,2.5,3.8,0.676,2.1,4.5,0.469,1.4,3.5,0.408,0.3,0.7,0.444,0.3,0.5,0.583,2.3,6,0.383,0,0,0,Kyrie Irving,18.9,7.2,4.3,24.7,0.264,0.594,0.549,116.5,0.227513228,1.306878307,1
203081,2.1,3.5,0.607,0.8,1.8,0.451,1.4,2.8,0.479,0.2,0.3,0.45,0.1,0.4,0.364,3.1,8.2,0.377,0,0.1,0,Damian Lillard,17.1,9,6.8,24.9,0.269,0.621,0.547,115.3,0.397660819,1.456140351,1
1630162,2.9,4.6,0.634,1.2,2.9,0.404,1,2.7,0.376,0.3,0.8,0.426,0.2,0.5,0.436,3.5,8.9,0.395,0,0.1,0,Anthony Edwards,20.4,10.3,6.3,27.6,0.307,0.595,0.547,116.2,0.308823529,1.352941176,1
1629673,2.2,3.3,0.679,0.7,2.1,0.336,0.4,1.1,0.338,0.2,0.3,0.522,0.1,0.5,0.206,3.2,8.3,0.384,0,0,0,Jordan Poole,15.5,9.1,4,20.5,0.281,0.591,0.544,104.8,0.258064516,1.322580645,1
1628369,3.4,4.8,0.719,1.1,2.5,0.448,1.2,2.9,0.396,0.2,0.5,0.382,0.1,0.2,0.636,3.2,9.5,0.337,0,0,0,Jayson Tatum,20.3,10.1,6.1,26.8,0.301,0.582,0.537,119.6,0.300492611,1.320197044,1
1629029,2.2,3.2,0.709,2.2,4.6,0.485,1.2,3.1,0.389,0.1,0.4,0.389,0.1,0.1,0.429,3.3,9.1,0.368,0,0,0,Luka Dončić,20.5,9.6,7.9,28.2,0.328,0.587,0.536,119.6,0.385365854,1.375609756,1
1628378,2.1,3.5,0.606,1.6,3.4,0.485,1.2,2.8,0.426,0.3,0.5,0.528,0.2,0.4,0.379,2.9,8,0.359,0,0,0,Donovan Mitchell,18.6,8.9,5.1,24,0.298,0.575,0.531,119.7,0.274193548,1.290322581,1
